overlap_cardinality,overlap_estimation,absolute_difference,relative_difference
8,6,2,0.25
7,4,3,0.42857142857142855
10,6,4,0.4
8,6,2,0.25
7,3,4,0.5714285714285714
3,4,1,0.3333333333333333
2,2,0,0.0
8,8,0,0.0
10,5,5,0.5
6,5,1,0.16666666666666666
5,5,0,0.0
8,7,1,0.125
9,5,4,0.4444444444444444
8,6,2,0.25
5,4,1,0.2
5,4,1,0.2
10,6,4,0.4
9,5,4,0.4444444444444444
10,4,6,0.6
7,5,2,0.2857142857142857
8,5,3,0.375
6,3,3,0.5
8,4,4,0.5
10,7,3,0.3
10,5,5,0.5
7,4,3,0.42857142857142855
9,4,5,0.5555555555555556
10,5,5,0.5
8,6,2,0.25
6,7,1,0.16666666666666666
6,6,0,0.0
7,5,2,0.2857142857142857
10,5,5,0.5
4,4,0,0.0
3,3,0,0.0
6,7,1,0.16666666666666666
9,6,3,0.3333333333333333
7,4,3,0.42857142857142855
8,4,4,0.5
4,2,2,0.5
8,4,4,0.5
6,4,2,0.3333333333333333
7,5,2,0.2857142857142857
5,4,1,0.2
10,4,6,0.6
7,8,1,0.14285714285714285
0,0,0,0
6,4,2,0.3333333333333333
8,5,3,0.375
10,6,4,0.4
5,4,1,0.2
6,4,2,0.3333333333333333
4,5,1,0.25
8,6,2,0.25
10,5,5,0.5
9,5,4,0.4444444444444444
7,5,2,0.2857142857142857
3,2,1,0.3333333333333333
5,5,0,0.0
7,4,3,0.42857142857142855
9,6,3,0.3333333333333333
8,7,1,0.125
10,4,6,0.6
3,2,1,0.3333333333333333
8,4,4,0.5
3,4,1,0.3333333333333333
2,4,2,1.0
5,5,0,0.0
9,5,4,0.4444444444444444
10,5,5,0.5
10,4,6,0.6
8,6,2,0.25
5,4,1,0.2
6,4,2,0.3333333333333333
8,5,3,0.375
8,5,3,0.375
10,6,4,0.4
5,4,1,0.2
6,7,1,0.16666666666666666
3,4,1,0.3333333333333333
3,3,0,0.0
10,8,2,0.2
6,4,2,0.3333333333333333
9,4,5,0.5555555555555556
2,2,0,0.0
5,3,2,0.4
9,6,3,0.3333333333333333
10,4,6,0.6
10,6,4,0.4
7,6,1,0.14285714285714285
5,5,0,0.0
7,4,3,0.42857142857142855
9,6,3,0.3333333333333333
6,5,1,0.16666666666666666
7,3,4,0.5714285714285714
7,4,3,0.42857142857142855
6,7,1,0.16666666666666666
10,6,4,0.4
9,5,4,0.4444444444444444
3,4,1,0.3333333333333333
6,6,0,0.0
8,6,2,0.25
7,4,3,0.42857142857142855
9,4,5,0.5555555555555556
6,7,1,0.16666666666666666
10,5,5,0.5
6,3,3,0.5
4,4,0,0.0
4,3,1,0.25
4,4,0,0.0
7,5,2,0.2857142857142857
9,6,3,0.3333333333333333
6,6,0,0.0
9,6,3,0.3333333333333333
7,5,2,0.2857142857142857
10,5,5,0.5
4,4,0,0.0
2,2,0,0.0
8,5,3,0.375
10,5,5,0.5
8,8,0,0.0
6,4,2,0.3333333333333333
9,6,3,0.3333333333333333
8,6,2,0.25
9,7,2,0.2222222222222222
7,6,1,0.14285714285714285
9,6,3,0.3333333333333333
9,7,2,0.2222222222222222
8,5,3,0.375
9,6,3,0.3333333333333333
6,5,1,0.16666666666666666
6,6,0,0.0
4,4,0,0.0
5,5,0,0.0
7,6,1,0.14285714285714285
4,3,1,0.25
4,4,0,0.0
10,6,4,0.4
6,6,0,0.0
9,5,4,0.4444444444444444
9,7,2,0.2222222222222222
5,3,2,0.4
9,6,3,0.3333333333333333
5,5,0,0.0
4,4,0,0.0
7,6,1,0.14285714285714285
8,7,1,0.125
3,3,0,0.0
2,2,0,0.0
5,5,0,0.0
8,6,2,0.25
7,6,1,0.14285714285714285
4,3,1,0.25
8,5,3,0.375
10,7,3,0.3
7,5,2,0.2857142857142857
6,5,1,0.16666666666666666
10,4,6,0.6
1,2,1,1.0
9,6,3,0.3333333333333333
6,4,2,0.3333333333333333
8,6,2,0.25
7,6,1,0.14285714285714285
8,5,3,0.375
9,5,4,0.4444444444444444
9,5,4,0.4444444444444444
6,6,0,0.0
6,5,1,0.16666666666666666
6,6,0,0.0
4,4,0,0.0
8,6,2,0.25
8,7,1,0.125
9,5,4,0.4444444444444444
10,7,3,0.3
6,6,0,0.0
7,5,2,0.2857142857142857
7,5,2,0.2857142857142857
10,6,4,0.4
7,5,2,0.2857142857142857
6,4,2,0.3333333333333333
7,4,3,0.42857142857142855
7,6,1,0.14285714285714285
8,4,4,0.5
9,5,4,0.4444444444444444
10,5,5,0.5
1,2,1,1.0
10,5,5,0.5
8,6,2,0.25
7,6,1,0.14285714285714285
6,6,0,0.0
6,4,2,0.3333333333333333
3,3,0,0.0
